Gen,Best,Average
1,0,0.45469999999999977
2,30.250000000000036,0.22949999999999968
3,3.00999999999998,0.5627
4,30.25000000000003,0.6107999999999943
5,34.57999999999955,0.6087999999999989
6,33.52999999999992,0.6301
7,30.560000000000063,0.7310999999999999
8,33.419999999999966,0.7681000000000008
9,30.260000000000026,0.7611999999999979
10,34.32999999999964,0.7985000000000011
11,33.24000000000003,0.8437999999999976
12,30.26,1.476799999999995
13,33.31,0.8601000000000006
14,30.25000000000002,1.5613999999999888
